AE_safe_err,AE_risk_err,label_content,prob_safe_rel,prob_risk_rel,prob_safe_spat,prob_risk_spat,user_id,SHAP_content,SHAP_rel,SHAP_spat,dominant_perspective
-0.2937060170010154,0.0615233787269241,-0.099754699000332,0.0,0.0,-8.673617379884035e-19,0.0,2598,0.4549840947282716,0.0,8.673617379884035e-19,SHAP_content
-0.228092778926363,-0.1382151515446174,-0.0689098542269009,0.0,0.0,-1.734723475976807e-18,0.0,3140,0.4352177846978813,0.0,1.734723475976807e-18,SHAP_content
0.4561342321968491,-0.0211685357372858,0.0590739266270174,0.0,0.0,0.0,0.0,989,0.5363766945611524,0.0,0.0,SHAP_content
0.1774322253225116,0.2286926032374603,0.0988363324027379,0.0,0.0,2.7755575615628914e-17,0.0,923,0.5049611609627099,0.0,2.7755575615628914e-17,SHAP_content
0.2769262811365062,-0.1960480516382568,-0.1288302872721882,0.0,0.0,6.938893903907228e-18,0.0,3272,0.6018046200469512,0.0,6.938893903907228e-18,SHAP_content
0.1047594398249769,0.3596853841014251,0.0719950996629559,0.0,0.0,-1.0408340855860844e-17,0.0,2397,0.536439923589358,0.0,1.0408340855860844e-17,SHAP_content
0.4379521306775624,-0.0719496895936485,0.0997088824802668,0.0,0.0,-1.3877787807814457e-17,0.0,2044,0.6096107027514779,0.0,1.3877787807814457e-17,SHAP_content
0.4795737521085729,-0.0463619374820811,0.0452653337324586,0.0,0.0,6.938893903907228e-18,0.0,1980,0.5712010233231127,0.0,6.938893903907228e-18,SHAP_content
0.4745465820423377,-0.0607749743647028,0.0660432477240093,0.0,0.0,1.3877787807814457e-17,0.0,249,0.60136480413105,0.0,1.3877787807814457e-17,SHAP_content
0.3456777944938324,0.0598846167396107,0.096225398441425,0.0,0.0,-6.938893903907228e-18,0.0,1056,0.5017878096748681,0.0,6.938893903907228e-18,SHAP_content
0.0789986613441805,0.1270088172290217,0.1384140553143122,0.0,0.0,6.938893903907228e-18,0.0,2683,0.3444215338875145,0.0,6.938893903907228e-18,SHAP_content
